user,bigger,cldist,inertia,smaller
AAA1182,34.0,3.562222225600847,713.0424394807475,26.0
AAB1302,35.0,3.982662028050834,546.4453863329873,9.0
AAB1762,52.0,5.762923814361052,646.509901202917,5.0
AAC0131,57.0,3.4645118823971672,1115.9492158530293,44.0
AAC0599,39.0,3.8221588772492923,499.04107688953064,17.0
AAC0904,163.0,2.7497006668645874,3269.1492087420133,105.0
AAC1489,194.0,3.641427827949593,2444.6321565723733,61.0
AAC1881,30.0,3.581618417847591,527.6851069755178,18.0
AAE0190,214.0,6.862317266077714,1813.8620054700855,25.0
AAF0721,45.0,3.5268858688172977,693.1775919161394,14.0
AAF0791,86.0,3.4880345316038897,1149.3486071907432,35.0
AAF2163,6.0,3.783458112513325,105.64506730605706,4.0
AAG1136,81.0,3.1076152891234976,2001.260066309079,78.0
AAH0118,49.0,3.4591086304493155,912.0475075562008,33.0
AAH0393,12.0,3.8394701644991813,209.240650508419,8.0
AAH0792,45.0,4.22517286615613,639.1640353248525,15.0
AAH3397,9.0,4.322096242262095,142.75014266144592,6.0
AAJ0723,39.0,3.3994572539304198,562.2563736692529,21.0
AAL0706,10.0,4.605015001113399,107.41096239863018,4.0
AAL1327,45.0,4.275751863041854,618.884595042706,9.0
AAM0469,26.0,3.755141420686949,416.22265337158035,12.0
AAM0559,42.0,3.396821593303065,747.7772104208514,24.0
AAM0972,108.0,3.2809494626103044,1571.0214727605194,56.0
AAM0982,14.0,3.712241662079408,250.6898885975023,7.0
AAM1951,35.0,3.6763624784421034,573.3498761851213,17.0
AAN0700,16.0,8.739724040039647,166.11032819195583,1.0
AAN0823,9.0,4.72958848420642,95.39616998737421,2.0
AAO1119,30.0,3.7448496768360724,540.7635993270095,21.0
AAO1919,12.0,3.8251730084136613,229.76664698737716,8.0
AAP3230,34.0,3.373352954632369,527.8811062736129,23.0
AAR1793,9.0,4.339712037646915,125.62552371818055,3.0
AAS1285,35.0,3.5873368814437425,642.780539715053,24.0
AAV0450,10.0,3.966113750627972,133.01228143904893,6.0
AAW0353,35.0,3.7205993087156295,444.78123034818907,13.0
AAW0914,186.0,6.228857687066389,1790.0639622935653,31.0
AAW0952,114.0,5.275239250767851,1331.9976614483219,40.0
AAW0969,97.0,3.1815057181065796,1853.403678534491,63.0
AAZ2121,32.0,3.370161208487389,618.0094887927603,23.0
ABB0019,124.0,3.247120451599684,2196.3547233269455,65.0
ABC0253,81.0,3.2275374626432343,1234.0365232022295,48.0
ABC1802,27.0,3.978076311233919,346.1003792642884,14.0
ABC1881,112.0,3.2858158823074177,2147.7845592392064,59.0
ABD3506,8.0,4.631220694980519,110.80478633169109,4.0
ABG0761,30.0,3.391017855574265,582.051127232625,22.0
ABH0663,34.0,3.7621893838216836,430.8915216977588,13.0
ABH1829,24.0,3.428831128717227,391.3223579855192,19.0
ABJ1155,40.0,3.5534701266651356,688.7759363198492,22.0
ABL1229,105.0,3.157618892558175,1599.3060027573692,60.0
ABM0845,10.0,3.6149147292905095,157.92173999981566,8.0
ABM0890,158.0,3.2567747280868664,2731.710118773079,76.0
ABM1021,72.0,4.755804527648186,940.9394659286324,13.0
ABM1851,37.0,3.6433627137972038,752.7997223058837,27.0
ABN0239,130.0,4.926611344380468,1437.3553593789986,12.0
ABP1681,14.0,3.846313999831337,177.86464818174613,6.0
ABR0482,8.0,4.03382586446045,131.93307352372278,5.0
ABR3486,30.0,3.2776851908449074,504.7570638628798,24.0
ABV1812,51.0,4.2912438538418485,577.37599823921,11.0
ABW0686,26.0,3.4730818961234853,487.70101370089617,18.0
ABW1277,34.0,3.3518301881533916,606.7965911527963,32.0
ACA1126,1330.0,3.01222538077805,25968.290773644945,671.0
ACA2637,28.0,3.3867749557847424,558.6865865140692,22.0
ACB0220,180.0,16.780912945725696,1990.9909112905013,2.0
ACB1087,171.0,3.2338320232449136,3018.4053611695617,88.0
ACC0042,122.0,3.025053680697651,2070.4406352575497,68.0
ACC0950,162.0,5.449806272393485,2055.9264692013103,46.0
ACC1855,32.0,3.5086269831562378,595.5080339244416,22.0
ACC3205,40.0,4.326385897903021,550.259080499407,10.0
ACD1174,137.0,7.45852423807081,1105.3937632624602,14.0
ACD3420,58.0,3.649251614527515,1104.5488594815179,45.0
ACE1431,31.0,3.595306334760726,483.0513422499339,11.0
ACF1356,24.0,3.5051966984975444,513.7001074441008,23.0
ACG0007,91.0,3.6523014713583613,1560.590236571103,52.0
ACG0152,18.0,4.8165195602520825,188.0764559750479,4.0
ACG0234,29.0,3.393286433564191,539.8243657513303,19.0
ACG3477,49.0,3.4095915753167145,1011.0890365478161,42.0
ACH0937,86.0,3.3104780181121005,1519.5541576784549,46.0
ACH1011,137.0,5.336168399013004,1761.910476278299,13.0
ACH1831,154.0,3.155292066533719,2299.276688892586,82.0
ACH1840,241.0,21.174756187599407,2941.482470228796,1.0
ACH3250,31.0,3.4277907545972215,653.1392791705373,28.0
ACJ1797,14.0,3.6870192200720187,291.2602779082482,11.0
ACK1629,20.0,8.1395255912959,230.90297442727538,1.0
ACK1688,7.0,3.8732857724596625,107.53089289570656,6.0
ACL0667,52.0,3.5123779840173905,1005.3985523685851,31.0
ACM2517,42.0,4.051209876259353,616.6008785834065,15.0
ACM2693,31.0,3.652385236779868,542.855766927756,19.0
ACM2954,48.0,3.7186676093958786,819.454092991519,28.0
ACO0902,7.0,3.6527295614766073,151.8936771946174,6.0
ACR1045,15.0,5.794557484569893,178.7466533376736,2.0
ACR1286,21.0,3.406328170185421,444.25936076008736,19.0
ACR1367,29.0,3.3411985060327036,514.8908031129813,16.0
ACS0589,128.0,4.975951755041946,1663.8564143145954,16.0
ACS1868,26.0,3.4557373631550887,540.2573838282156,23.0
ACT1903,14.0,3.6898902351303127,238.6857966318762,8.0
ACT2336,56.0,3.6365176370399626,1070.2334217927425,34.0
ACV0812,95.0,3.223761028167029,1614.7292825576847,58.0
ACW0078,41.0,13.368832076684585,413.52970202670906,1.0
ACW1602,60.0,3.4293647266171217,1079.3877953662713,36.0
ACW2684,35.0,3.3418086761865955,718.8874920834446,29.0
ACW3220,38.0,3.426176715956706,640.6203244276555,18.0
ADB0799,37.0,3.6513116221838104,492.70599707993915,17.0
ADC0391,143.0,15.828624477617486,1245.8208902339213,2.0
ADC1014,155.0,18.412560511532444,1847.1508358232,1.0
ADC2744,32.0,3.8828117354066194,415.1869122921455,16.0
ADC2989,15.0,4.5660547125201,200.161508512441,4.0
ADD0846,7.0,4.3121536638462405,80.95119463669263,3.0
ADD3481,10.0,3.8694220517993974,225.13786492524275,10.0
ADF0397,81.0,3.2259416533244165,1324.7598774816215,59.0
ADF2000,37.0,4.2271136982234765,524.0895988436204,12.0
ADF2925,6.0,4.22605354080934,114.42141441063853,6.0
ADG0619,14.0,5.084623065380382,174.1269145815339,3.0
ADH0153,10.0,3.5693295626532526,167.5329549105651,5.0
ADH0764,39.0,3.8303211278892513,579.3686969958973,12.0
ADH1016,105.0,3.311651077276462,1754.5384649847701,45.0
ADL2020,42.0,3.6140783128802543,762.1381312771606,21.0
ADL2050,43.0,4.070384281726932,627.7521001793166,15.0
ADR0810,31.0,3.288587542086642,582.5258632623563,20.0
ADR1156,183.0,15.904699890824753,2274.550436897862,2.0
ADR2671,31.0,3.414504670986076,485.974899149761,22.0
ADR3419,54.0,3.703258868264447,903.2491361413984,29.0
ADS1239,35.0,3.353406487674867,676.0055302061267,25.0
ADS3404,16.0,4.121163566336906,233.88804738689717,6.0
ADS3500,68.0,4.8794406177099425,880.5685104451306,11.0
AEB2706,33.0,3.7701235198709444,429.41986415069545,15.0
AEC0957,73.0,4.108510165927631,1027.2455441404268,17.0
AEC1085,225.0,5.104891851878709,2920.845090664099,24.0
AED2690,42.0,7.618381503185785,505.1968662463864,2.0
AEF0718,36.0,3.4850081681112623,545.1079401820481,24.0
AEF1032,17.0,4.7198575512699374,221.92955905164604,5.0
AEG0962,209.0,22.492450792175532,2646.4987542312692,1.0
AEG1953,25.0,3.563197432999521,488.92915614961805,20.0
AEH0001,522.0,3.3188453712656947,8778.150428498197,231.0
AEH1647,37.0,3.414234729496394,525.6630330708247,19.0
AEM0113,122.0,3.435650142273422,1927.2066018528674,42.0
AEO1116,36.0,3.8653822032079264,569.4716622443688,17.0
AEP1615,10.0,4.052097890636369,179.02445637644573,8.0
AER1354,26.0,3.554542314438556,409.17215317674373,20.0
AER2636,24.0,3.413531638215785,510.2530288388506,22.0
AES0827,15.0,7.11803559904778,144.50022113502047,1.0
AES1373,12.0,3.5337791494122714,229.77808246206388,9.0
AES2423,48.0,3.7111224519540205,803.7298316616251,26.0
